,control1,lps1,control2,lps2,control3,lps3
ACOT12,0,0,1,0,0,0
ACOT13,3200,2335,3334,1634,3704,2408
ACOT2,1351,845,2231,1055,2426,1081
ACOT4,183,118,519,245,457,234
ACOT6,13,3,26,9,50,15
ACOT7,1949,849,3089,893,1552,807
ACOT8,726,438,581,305,666,478
ACOT9,1949,4958,2000,8870,2499,5138
ACOX1,6398,8260,6898,4519,4819,7247
ACOX2,323,21,361,11,225,38
ACOX3,1497,1232,1212,1563,1133,1148
ACOXL,0,0,1,6,0,0
ACP1,3449,2092,3235,1912,3194,2170
ACP2,6224,9853,8833,7860,6395,9058
ACP5,81505,29764,131602,72284,99777,29452
ACP6,227,55,196,81,201,51
ACPL2,79,220,203,275,48,79
ACPP,631,284,1257,166,782,360
ACPT,3,0,3,2,2,1
ACR,0,0,0,0,0,0
ACRBP,300,140,89,108,365,159
ACRC,85,46,81,28,50,38
ACRV1,7,0,0,1,0,1
ACSBG1,2,2,3,1,2,3
ACSBG2,10,3,14,5,12,3
ACSF2,1399,357,1001,433,1105,318
ACSF3,1379,911,1192,683,1284,831
ACSL1,9514,67454,17242,48043,11702,47133
ACSL3,6364,4873,6253,5033,5963,4956
ACSL4,16812,30426,23233,36220,11732,33059
ACSL5,4430,7649,4047,5447,3233,11042
ACSL6,3,6,5,1,23,10
ACSM1,1,4,1,2,1,2
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,87,19,28,8,42,7
ACSM4,36,14,10,14,44,10
ACSM5,53,17,88,38,145,14
ACSS1,878,235,794,477,946,205
ACSS2,3665,2975,5726,2836,4535,3613
ACSS3,6,0,14,4,2,5
ACTA1,12,10,9,2,11,8
ACTA2,670,317,443,159,386,401
ACTA2-AS1,0,3,0,0,0,0
ACTB,550152,340194,606464,194859,544951,344929
ACTBL2,0,0,0,0,0,0
ACTC1,0,0,0,0,0,0
ACTG1,134094,75290,130141,48856,118350,81217
ACTG1P4,18,12,16,3,9,9
ACTG2,2,0,50,2,5,2
ACTL10,28,22,26,43,43,15
ACTL6A,1868,894,1056,647,1474,977
ACTL6B,1,0,0,0,0,0
ACTL7A,1,0,0,0,1,0
ACTL7B,0,0,0,0,0,0
ACTL8,2,0,0,0,0,0
ACTL9,0,0,0,0,0,0
ACTN1,22484,15442,28766,14142,19777,23453
ACTN1-AS1,0,0,3,0,3,3
ACTN2,40,21,62,84,8,15
ACTN3,0,0,0,0,1,0
ACTN4,15450,15994,13285,22306,13472,16448
ACTR10,2258,2511,2702,2633,2299,2596
ACTR1A,6060,7096,5641,7074,6598,7221
ACTR1B,2700,1500,2581,1722,1902,1433
ACTR2,49303,37353,37738,31262,44339,37760
ACTR3,40828,35869,42441,26726,33800,35226
ACTR3B,189,109,182,143,134,152
ACTR3BP2,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0
ACTR3C,49,22,6,37,19,25
ACTR5,470,281,335,227,508,318
ACTR6,763,919,748,965,573,793
ACTR8,1490,1581,1508,1441,1637,1722
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,94,57,56,136,90,46
ACVR1,2413,2835,3381,2380,2521,2953
ACVR1B,2065,5200,2096,3875,1958,4924
ACVR1C,19,24,27,144,11,32
